Label,name,MNI_X,MNI_Y,MNI_Z,Yeo_7 network
1,SFG_L_7_1,-4.89,15.45,53.77,Frontoparietal
2,SFG_R_7_1,6.84,16.32,54.22,Ventral Attention
3,SFG_L_7_2,-18.23,23.51,52.75,Default
4,SFG_R_7_2,21.63,25.61,51.46,Frontoparietal
5,SFG_L_7_3,-11,48.6,39.77,Default
6,SFG_R_7_3,12.84,48.29,40.09,Default
7,SFG_L_7_4,-18.11,-0.68,65.05,Dorsal Attention
8,SFG_R_7_4,20.16,4.16,63.86,Dorsal Attention
9,SFG_L_7_5,-6.08,-5,57.65,Somatomotor
10,SFG_R_7_5,7.35,-3.81,59.77,Somatomotor
11,SFG_L_7_6,-4.74,35.76,38.36,Default
12,SFG_R_7_6,5.97,37.9,35.1,Frontoparietal
13,SFG_L_7_7,-7.71,55.99,15.23,Default
14,SFG_R_7_7,7.72,58.39,13.09,Default
15,MFG_L_7_1,-27.23,42.68,30.89,Ventral Attention
16,MFG_R_7_1,30.21,37.06,35.75,Frontoparietal
17,MFG_L_7_2,-41.59,13.37,36.25,Frontoparietal
18,MFG_R_7_2,41.82,11.46,38.53,Frontoparietal
19,MFG_L_7_3,-27.89,55.93,12.23,Frontoparietal
20,MFG_R_7_3,27.68,55.02,16.94,Frontoparietal
21,MFG_L_7_4,-40.78,40.71,16.12,Frontoparietal
22,MFG_R_7_4,41.76,44.14,13.56,Frontoparietal
23,MFG_L_7_5,-32.88,23.19,45.18,Default
24,MFG_R_7_5,42,26.63,39.17,Frontoparietal
25,MFG_L_7_6,-32.2,3.67,54.66,Dorsal Attention
26,MFG_R_7_6,33.54,7.81,54.43,Dorsal Attention
27,MFG_L_7_7,-25.57,60.4,-5.54,Limbic
28,MFG_R_7_7,25.48,61.39,-3.81,Frontoparietal
29,IFG_L_6_1,-45.97,13.36,23.71,Frontoparietal
30,IFG_R_6_1,45.44,16.35,25.12,Dorsal Attention
31,IFG_L_6_2,-47.43,31.83,13.61,Frontoparietal
32,IFG_R_6_2,47.92,34.93,13.18,Frontoparietal
33,IFG_L_6_3,-52.63,23.03,11.08,Default
34,IFG_R_6_3,54.18,23.76,11.59,Default
35,IFG_L_6_4,-48.75,36.21,-2.83,Default
36,IFG_R_6_4,51.08,36.34,-0.54,Frontoparietal
37,IFG_L_6_5,-39.41,22.6,3.79,Ventral Attention
38,IFG_R_6_5,41.95,21.86,3.46,Ventral Attention
39,IFG_L_6_6,-51.61,13.41,6.27,Ventral Attention
40,IFG_R_6_6,53.59,13.86,10.99,Ventral Attention
41,OrG_L_6_1,-6.58,53.52,-6.83,Default
42,OrG_R_6_1,6.37,47.47,-6.96,Default
43,OrG_L_6_2,-36.25,33.32,-15.91,Default
44,OrG_R_6_2,40.27,38.63,-14.32,Default
45,OrG_L_6_3,-22.59,37.51,-17.62,Limbic
46,OrG_R_6_3,23.48,36.15,-18.16,Frontoparietal
47,OrG_L_6_4,-6.33,52.04,-19.36,Limbic
48,OrG_R_6_4,6.38,56.71,-16.43,Limbic
49,OrG_L_6_5,-10.23,17.69,-18.77,Limbic
50,OrG_R_6_5,9.13,20.23,-19.34,Limbic
51,OrG_L_6_6,-40.71,32.12,-9.19,Default
52,OrG_R_6_6,42.42,31.3,-8.93,Default
53,PrG_L_6_1,-48.97,-7.64,39,Somatomotor
54,PrG_R_6_1,54.69,-2.31,32.92,Somatomotor
55,PrG_L_6_2,-31.58,-9.12,57.8,Dorsal Attention
56,PrG_R_6_2,32.96,-6.77,56.52,Dorsal Attention
57,PrG_L_6_3,-26.27,-24.97,62.59,Somatomotor
58,PrG_R_6_3,34.23,-18.83,58.5,Somatomotor
59,PrG_L_6_4,-13.12,-20.48,73.33,Somatomotor
60,PrG_R_6_4,15.13,-21.55,70.99,Somatomotor
61,PrG_L_6_5,-52.1,0.09,7.67,Ventral Attention
62,PrG_R_6_5,53.67,3.85,8.8,Ventral Attention
63,PrG_L_6_6,-49.23,4.72,30.31,Dorsal Attention
64,PrG_R_6_6,51.22,7.17,30.48,Dorsal Attention
65,PCL_L_2_1,-7.63,-37.97,58.16,Ventral Attention
66,PCL_R_2_1,9.95,-34.32,53.93,Somatomotor
67,PCL_L_2_2,-4.07,-22.79,60.65,Somatomotor
68,PCL_R_2_2,4.63,-20.99,61.28,Somatomotor
69,STG_L_6_1,-31.84,13.85,-34.47,Limbic
70,STG_R_6_1,31.31,15.1,-33.63,Limbic
71,STG_L_6_2,-53.83,-31.74,12.24,Somatomotor
72,STG_R_6_2,53.99,-23.6,10.51,Somatomotor
73,STG_L_6_3,-49.9,-10.52,1.23,Somatomotor
74,STG_R_6_3,50.81,-3.59,-1.15,Somatomotor
75,STG_L_6_4,-62.45,-33.19,7.34,Somatomotor
76,STG_R_6_4,66.46,-20.3,6.35,Somatomotor
77,STG_L_6_5,-44.84,10.91,-19.57,Limbic
78,STG_R_6_5,47,12.22,-19.59,Limbic
79,STG_L_6_6,-54.9,-3.33,-10.37,Default
80,STG_R_6_6,55.85,-12.26,-5.34,Default
81,MTG_L_4_1,-64.96,-30.44,-11.58,Default
82,MTG_R_4_1,64.83,-28.8,-13.13,Frontoparietal
83,MTG_L_4_2,-53.07,2.11,-29.57,Default
84,MTG_R_4_2,51.4,5.58,-31.83,Default
85,MTG_L_4_3,-59.08,-57.52,4.25,Dorsal Attention
86,MTG_R_4_3,60.12,-53.28,2.71,Dorsal Attention
87,MTG_L_4_4,-58.41,-19.63,-9.45,Default
88,MTG_R_4_4,58.27,-15.81,-9.94,Default
89,ITG_L_7_1,-45.29,-26.44,-26.79,Limbic
90,ITG_R_7_1,45.82,-14.46,-32.59,Limbic
91,ITG_L_7_2,-50.65,-57.03,-14.58,Dorsal Attention
92,ITG_R_7_2,53.29,-52.42,-18.16,Dorsal Attention
93,ITG_L_7_3,-43.47,-2.38,-41.37,Limbic
94,ITG_R_7_3,40.4,0.33,-43.19,Limbic
95,ITG_L_7_4,-55.82,-15.6,-27.53,Default
96,ITG_R_7_4,54.61,-11.04,-32.22,Limbic
97,ITG_L_7_5,-55.17,-60.05,-5.85,Dorsal Attention
98,ITG_R_7_5,54.18,-57.01,-8.34,Dorsal Attention
99,ITG_L_7_6,-59.19,-41.77,-16,Frontoparietal
100,ITG_R_7_6,60.66,-39.92,-17.18,Frontoparietal
101,ITG_L_7_7,-54.75,-30.66,-27.01,Limbic
102,ITG_R_7_7,53.78,-31.25,-25.7,Limbic
103,FuG_L_3_1,-32.72,-16.45,-32.15,Limbic
104,FuG_R_3_1,33.49,-14.75,-33.61,Limbic
105,FuG_L_3_2,-30.86,-64.57,-14.24,Visual
106,FuG_R_3_2,31.23,-61.92,-13.52,Visual
107,FuG_L_3_3,-42.04,-50.64,-17.27,Dorsal Attention
108,FuG_R_3_3,42.59,-49.24,-18.61,Visual
109,PhG_L_6_1,-27.05,-7.06,-34.11,Limbic
110,PhG_R_6_1,27.55,-8.38,-33.48,Limbic
111,PhG_L_6_2,-25.07,-25.12,-25.98,Limbic
112,PhG_R_6_2,26.45,-23.26,-26.8,Visual
113,PhG_L_6_3,-28.36,-31.79,-17.66,Visual
114,PhG_R_6_3,29.52,-30.01,-17.87,Visual
115,PhG_L_6_4,-18.6,-11.84,-29.89,Limbic
116,PhG_R_6_4,18.72,-10.14,-29.62,Limbic
117,PhG_L_6_5,-23.24,1.92,-31.76,Limbic
118,PhG_R_6_5,21.64,1.04,-35.85,Limbic
119,PhG_L_6_6,-16.6,-39.38,-9.99,Visual
120,PhG_R_6_6,18.8,-36.29,-11.31,Visual
121,pSTS_L_2_1,-54.26,-39.97,4.3,Default
122,pSTS_R_2_1,52.66,-36.7,3.32,Default
123,pSTS_L_2_2,-52.38,-50.3,10.72,Ventral Attention
124,pSTS_R_2_2,56.74,-40.08,12.35,Ventral Attention
125,SPL_L_5_1,-16.32,-59.88,62.67,Dorsal Attention
126,SPL_R_5_1,19.36,-56.89,64.89,Dorsal Attention
127,SPL_L_5_2,-15.5,-70.85,51.67,Dorsal Attention
128,SPL_R_5_2,18.59,-68.89,53.64,Dorsal Attention
129,SPL_L_5_3,-33.34,-46.76,49.67,Dorsal Attention
130,SPL_R_5_3,35.18,-42.04,54.1,Dorsal Attention
131,SPL_L_5_4,-22.47,-47.39,65.06,Somatomotor
132,SPL_R_5_4,23.04,-43.34,66.99,Somatomotor
